Filter1,Numeric,8,2,EUlmer_INS,None,None,8,Right,Nominal,Input
subjectID,Restricted Numeric,4,0,"Patient ID Number, see Master Identification Log to re-identify",None,None,11,Right,Nominal,Input
LastName,String,20,0,,None,None,8,Left,Nominal,Input
FirstName,String,20,0,,None,None,8,Left,Nominal,Input
NpsyDate_1,Date,10,0,Date of 1st neuropsychological eval that corresponds to NeuroReader,None,None,8,Right,Nominal,Input
MRN,Numeric,8,0,,None,None,8,Right,Nominal,Input
DOB,Date,10,0,,None,None,8,Right,Nominal,Input
Include_JakBondi,Numeric,8,0,Include or Exclude in JakBondi MCI study for AACN 2019,"{0, Exclude}...",None,8,Right,Nominal,Input
JakBondi_MCI_AmnesticvsNonamnestic,Numeric,8,2,Categorization of MCI type (Jak and Bondi criteria) Amnestic vs Nonamnestic NE,"{.00, Amnestic}...",None,16,Right,Nominal,Input
JakBondi_MCI_type,Numeric,8,2,Categorization of MCI type (Jak and Bondi criteria) NE,"{.00, aMCI, single}...",None,14,Right,Nominal,Input
JakBondi_Domains,String,49,0,Specific domains affected when using Jak/Bondi MCI criteria,None,None,10,Left,Nominal,Input
Petersen_AmnesticvsNonamnestic,Numeric,8,2,Categorization of MCI type (Petersen criteria) Amnestic vs Nonamnestic NE,"{.00, Amnestic}...",None,19,Right,Nominal,Input
PetersenMCItype,Numeric,7,2,Categorization of MCI type (Petersen criteria) NE,"{.00, aMCI, single}...",None,9,Right,Nominal,Input
PetersenMCI_Domains,String,46,0,Specific domains affected when using Petersen MCI criteria,None,None,11,Left,Nominal,Input
Petersen_Amnestic_NonAmnestic_KR,Numeric,8,2,,"{.00, Amnestic}...",None,14,Right,Nominal,Input
PetersenMCI_Memory,Numeric,8,2,,"{.00, Normal Memory}...",None,8,Right,Nominal,Input
PetersenMCI_Attention,Numeric,8,2,,"{.00, Normal Attention}...",None,8,Right,Nominal,Input
PetersenMCI_Language,Numeric,8,2,,"{.00, Normal Language}...",None,8,Right,Nominal,Input
PetersenMCI_EF,Numeric,8,2,,"{.00, Normal EF}...",None,8,Right,Nominal,Input
PetersenMCI_Visuospatial,Numeric,8,2,,"{.00, Normal Visuospatial}...",None,8,Right,Nominal,Input
datadoublecheck,Numeric,8,2,Actual NeuroReader and NP test results confirmed or corrected for time 1,"{.00, No}...",None,19,Right,Nominal,Input
notes,String,800,0,,None,None,50,Left,Nominal,Input
Amnestic,Numeric,8,2,from data entry by Kate and Laura (?) for INS,"{.00, Amnestic}...",None,8,Right,Nominal,Input
Domains,Numeric,8,2,from data entry by Kate and Laura (?) for INS,"{.00, Single Domain}...",None,8,Right,Nominal,Input
MCItype,Numeric,8,2,from data entry by Kate and Laura (?) for INS,"{.00, aMCI, single}...",None,8,Right,Nominal,Input
NP_provider_1,Numeric,8,2,NP Provider at time 1,"{1.00, Umfleet}...",None,8,Right,Nominal,Input
effort_1,Numeric,8,2,did the neuropsychologist conclude that results were invalid due to poor effort?,"{.00, no, NP profile considered valid}...",None,8,Right,Nominal,Input
etiology_lu_1,Numeric,8,2,etiology clear or presumed,"{.00, AD}...",None,34,Right,Nominal,Input
